City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
326,Deputatskiy,RU,69.3,139.9,37.94,77,100,11.54
327,Laguna,US,38.42,-121.42,75.2,50,1,13.87
328,Vanavara,RU,60.34,102.28,57.76,90,100,10.51
329,Nyzhni Sirohozy,UA,46.85,34.38,69.04,60,0,5.35
330,Ancud,CL,-41.87,-73.82,44.01,66,1,4.0
331,Gamba,GA,-2.65,10.0,73.31,84,100,5.91
332,Tres Arroyos,AR,-38.37,-60.28,37.11,88,0,10.11
333,Lasa,IT,46.62,10.7,50.0,93,75,2.24
334,Port Elizabeth,ZA,-33.92,25.57,62.6,72,100,24.16
335,Mudgee,AU,-32.59,149.59,66.99,63,100,12.75
336,Manakara,MG,-22.13,48.02,64.33,92,13,4.12
337,Ponta Do Sol,PT,32.67,-17.1,73.4,69,20,14.99
338,Tabalosos,PE,-6.35,-76.68,65.55,80,38,2.75
339,Hambantota,LK,6.12,81.12,77.0,94,75,8.05
340,Kelvington,CA,52.17,-103.53,51.62,76,16,12.86
341,Poum,NC,-20.23,164.02,71.55,69,0,14.72
342,Quatre Cocos,MU,-20.21,57.76,71.6,83,75,11.41
343,Taraz,KZ,42.9,71.37,64.4,59,75,6.71
344,Baiyin,CN,36.56,104.21,55.4,54,0,2.24
345,Broken Hill,AU,-31.95,141.43,75.2,17,0,24.16
346,Nyurba,RU,63.28,118.33,56.95,68,0,4.36
347,Krasnyy Chikoy,RU,50.36,108.75,56.66,66,6,4.68
348,Sioux Lookout,CA,50.1,-91.92,55.4,82,90,13.87
349,Nola,IT,40.92,14.53,66.2,68,0,3.36
350,Igurubi,TZ,-4.0,33.7,61.25,53,0,8.16
351,Walker,US,30.73,-95.57,89.6,55,1,9.17
352,Bandarbeyla,SO,9.49,50.81,78.22,72,56,22.06
353,Celendin,PE,-6.87,-78.15,53.2,77,18,3.09
354,Tazmalt,DZ,36.39,4.4,71.6,78,40,5.82
355,Swan River,CA,52.11,-101.27,52.75,81,68,11.16
356,Puerto Del Rosario,ES,28.5,-13.86,73.4,83,90,8.05
357,Farafangana,MG,-22.82,47.83,65.26,91,9,3.8
358,Ingham,US,42.6,-84.38,66.99,100,40,10.29
359,Saint-Ambroise,CA,48.55,-71.33,64.4,77,90,5.82
360,Gorontalo,ID,0.54,123.06,88.11,61,87,1.79
361,Okhotsk,RU,59.38,143.3,57.34,71,100,2.84
362,Delmiro Gouveia,BR,-9.39,-38.0,66.54,94,29,6.35
363,Aklavik,CA,68.22,-135.01,46.4,100,90,6.93
364,Sola,VU,-13.88,167.55,78.89,84,91,25.81
365,Manjacaze,MZ,-24.71,33.88,60.78,86,75,6.17
366,Hovd,MN,48.01,91.64,64.78,30,0,4.38
367,Santa Marta De Tormes,ES,40.95,-5.63,61.0,71,0,4.7
368,Anqing,CN,30.51,117.05,86.36,61,3,3.49
369,Moosomin,CA,50.13,-101.67,57.94,53,6,13.4
370,Kodinsk,RU,58.69,99.18,57.29,89,97,9.15
371,Floro,NO,61.6,5.03,59.0,72,75,20.8
372,Vardo,NO,70.37,31.11,50.18,77,100,15.35
373,Taltal,CL,-25.4,-70.48,52.3,74,16,1.48
374,Vikindu,TZ,-7.01,39.3,68.41,94,0,4.25
375,San Andres,CO,12.58,-81.7,84.2,79,75,5.82
376,Palana,RU,59.12,159.97,47.55,90,100,20.51
377,Meihekou,CN,42.53,125.68,75.09,70,49,4.41
378,Vao,NC,-22.67,167.48,67.89,62,6,14.25
379,Pingliang,CN,35.54,106.69,70.92,34,0,1.97
380,Road Town,VG,18.42,-64.62,82.0,90,15,13.0
381,San Jose De Tarros,HN,15.3,-88.7,69.44,100,3,1.72
382,Koumra,TD,8.91,17.55,71.02,95,94,2.68
383,Port Shepstone,ZA,-30.74,30.45,60.53,81,58,21.41
384,Bonnyville,CA,54.27,-110.73,60.8,51,75,19.46
385,Talaya,RU,61.38,152.75,53.83,59,97,8.37
386,Pangoa,PE,-12.12,-73.0,67.59,91,0,2.71
387,Troitsko-Pechorsk,RU,62.71,56.2,40.86,87,1,10.18
388,Lata,PT,40.16,-8.33,60.01,96,68,3.11
389,Boa Vista,BR,2.82,-60.67,80.6,78,46,3.36
390,Nuevo Progreso,MX,23.17,-97.95,82.99,66,0,1.99
391,Oktyabrskoye,RU,43.06,44.74,55.4,93,0,6.71
392,Gorgan,IR,36.84,54.43,62.6,88,0,4.7
393,Matata,NZ,-37.88,176.75,64.99,50,2,5.01
394,Bereda,ES,43.27,-7.54,54.0,1,40,4.32
395,Nemuro,JP,43.32,145.57,64.4,93,75,1.12
396,Solnechnyy,RU,50.72,136.63,68.79,76,75,3.29
397,Vidalia,US,32.22,-82.41,82.4,74,1,5.19
398,Clarksdale,US,34.2,-90.57,79.0,100,100,9.22
